gbifID,reproductiveCondition,occurrenceStatus,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedDate,dateIdentified,elevation,elevationAccuracy,hasCoordinate,hasGeospatialIssues,used_llm
894988018,,PRESENT,1970-07-11,,192.0,192.0,1970.0,7.0,11.0,,"scree slope, facing east",,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,West of Lost Lake,,7000 feet,,,49.133333,-114.15,,,,2133.0,0.0,True,False,False
894988016,,PRESENT,1968-08-04,,217.0,217.0,1968.0,8.0,4.0,,Trail side,,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,"near campsite, north-west of Cameron Lake",,,,,44.5531588,-78.7617083,,,,,,False,False,True
894987984,,PRESENT,1970-07-11,,192.0,192.0,1970.0,7.0,11.0,,"scree slope, facing east",,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,West of Lost Lake,,7000 feet,,,49.133333,-114.15,,,,2133.0,0.0,True,False,False
894987983,,PRESENT,1959-07-10,,191.0,191.0,1959.0,7.0,10.0,,Coniferous forest,,NORTH_AMERICA,US,Wyoming,,,Teton Pass,,8400 feet,,,43.4974007,-110.955336,,,,2560.0,0.0,False,False,False
894987960,,PRESENT,1970-07-11,,192.0,192.0,1970.0,7.0,11.0,,"scree slope, facing east",,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,West of Lost Lake,,7000 feet,,,49.133333,-114.15,,,,2133.0,0.0,True,False,False
894987959,,PRESENT,1970-06-23,,174.0,174.0,1970.0,6.0,23.0,,"P. contorta forest, in damp humus",,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,Bertha Lake trail,,5500 feet,,,49.033333,-113.916667,,,,1676.0,0.0,True,False,False
894987934,,PRESENT,1970-07-11,,192.0,192.0,1970.0,7.0,11.0,,"scree slope, facing east",,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,West of Lost Lake,,7000 feet,,,49.133333,-114.15,,,,2133.0,0.0,True,False,False
894987931,,PRESENT,1970-07-29,,210.0,210.0,1970.0,7.0,29.0,,spruce forest,,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,Trail from Rowe Lakes,,6000 feet,,,49.066667,-114.05,,,,1829.0,0.0,True,False,False
883428180,,PRESENT,1971-09-14,,257.0,257.0,1971.0,9.0,14.0,1971-09-14,forest; coniferous; slope (s),North America;Canada;Alberta;Jasper National Park,NORTH_AMERICA,CA,Alberta,Jasper National Park,,Mount Edith Cavell,"Jasper Nat. Park, Mt. Edith Cavell: up from chalet. 1980 m. Steep S-facing slope forested with spruce & layering alpine fir.",1980 m,,,52.683333,-118.05,2320.0,2015-02-05,,,,True,False,False
883420953,,PRESENT,1983-07-24,,205.0,205.0,1983.0,7.0,24.0,1983-07-24,meadow,North America;Canada;British Columbia,NORTH_AMERICA,CA,British Columbia,,,Ewin pass,"Flora of the Elk Valley, B.C. Ewin Pass - Mnt. Michael Road. Aspect: 80 degrees; slope: 85%; Elevation; 1860 m; moisture regime: subxeric. Df. Mixed coniferous & shrub dominated.",1860 m,,,50.0018,-114.7496,2500.0,2015-11-27,,,,True,False,False
883418377,,PRESENT,1984-06-25,,177.0,177.0,1984.0,6.0,25.0,1984-06-25,forest; coniferous; mossy,North America;Canada;Alberta,NORTH_AMERICA,CA,Alberta,,,Nose Mountain,"Nose Mt. 64-11-W6. Conifer forest (Ab. la. with Pi. ma., Pi, co.) with Rh. al. dominant in shrub layer & bush feathermoss ground cover",,,,54.5546,-119.6008,,,,,,True,False,False
883412012,,PRESENT,2006-07-12,,193.0,193.0,2006.0,7.0,12.0,2006-07-12,forest; trail,North America;Canada;Alberta;Kakwa Wildland Provincial Park,NORTH_AMERICA,CA,Alberta,Kakwa Wildland Provincial Park,,Kakwa Falls,Kakwa Wildland Provincial Park: Kakwa Falls Trail from day use parking area south to Kakwa Falls Lookout. Lodgepole pine (Pinus contorta) forest. approx. NAD83 11U 308166 E 6000219 N,,,,54.114281,-119.934994,30.0,2014-11-06,,,,True,False,False
883384121,,PRESENT,1988-07-05,,187.0,187.0,1988.0,7.0,5.0,1988-07-05,bog; forest,North America;Canada;Alberta,NORTH_AMERICA,CA,Alberta,,,Valleyview,"Alberta: 17.6 km east of Valleyview with access from Hwy. 669, just north of Sweathouse Creek, east of Little Smoky River.  Ombrotrophic bog plateau densely forested with Picea mariana.  Dominant plants:  Ledum groenlandicum, Carex trisperma, Eriophorum vaginatum, Sphagnum fuscum, S. magellanicum, S. angustifolium and Cladina mitis.  pH=3.6.  Bog drains with Carex paupercula, C. aquatilis and C. disperma.",685 m,,,55.05,-117.0,2289.0,2015-02-05,,,,True,False,False
883375746,,PRESENT,1984-07-24,,206.0,206.0,1984.0,7.0,24.0,1984-07-24,deciduous; coniferous,North America;Canada;Alberta,NORTH_AMERICA,CA,Alberta,,,Fox Creek,"19.5 km on hwy 947 (south of hwy #43); 11.2 km W and SW on BCFB road near March Head Creek.  Pinus contorta, Aralia nudicaulis, Lycopodium annotinum, Ptilium crista-castensis community.",1210 m,,,53.935625,-117.733308,284.0,2015-03-12,,,,True,False,False
883375701,,PRESENT,1984-06-22,,174.0,174.0,1984.0,6.0,22.0,1984-06-22,coniferous; deciduous,North America;Canada;Alberta,NORTH_AMERICA,CA,Alberta,,,Fox Creek,"Southeast of Fox Creek on road 947.  29.9 km S of hwy #43 on road 947, 8.5 km E on SE Access road to KS Gething Fld, S of Knight (Chevron) Gas Plant road.  Pinus contorta, Picea mariana, Ledum groenlandica, Vaccinium myrtilloides, Cornus canadensis, Pleurozium schreberi community.  Mayberne Plateau.",1070 m,,,54.0625,-116.548611,329.0,2015-06-05,,,,True,False,False
883373303,,PRESENT,1988-07-05,,187.0,187.0,1988.0,7.0,5.0,1988-07-05,bog; forest,North America;Canada;Alberta,NORTH_AMERICA,CA,Alberta,,,Valleyview,"Alberta: 17.6 km east of Valleyview with access from Hwy. 669, just north of Sweathouse Creek, east of Little Smoky River.  Ombrotrophic bog plateau densely forested with Picea mariana.  Dominant plants:  Ledum groenlandicum, Carex trisperma, Eriophorum vaginatum, Sphagnum fuscum, S. magellanicum, S. angustifolium and Cladina mitis.  pH=3.6.  Bog drains with Carex paupercula, C. aquatilis and C. disperma.",685 m,,,55.05,-117.0,2289.0,2015-02-05,2024-02-28T00:00:00,,,True,False,False
883371875,,PRESENT,1976-08-15,,228.0,228.0,1976.0,8.0,15.0,1976-08-15,fen,North America;Canada;Alberta,NORTH_AMERICA,CA,Alberta,,,Hinton,Hinton Area:  1.0 mi. south of Hwy. 16 on Hwy. 40.  In rich fen dominated by Eriophorum spissum-Carex limosa-Scorpidium scorpioides and in adjacent fen with young Larix laricina-Picea mariana.,1132 m,,,53.383333,-117.566667,2311.0,2015-02-05,2005-07-07T00:00:00,,,True,False,False
623695927,,PRESENT,2011-07-14,,195.0,195.0,2011.0,7.0,14.0,,,,NORTH_AMERICA,US,Washington,Yakima,,Okanogan-Wenatchee National Forest. Below and to northeast of Little Bald Mountain on west side of Forest Road 1600.,,,,,46.91046,-121.15371,,,2011-12-17T00:00:00,,,True,False,False
5177147591,,PRESENT,2025-05-16T10:13,10:13:00-07:00,136.0,136.0,2025.0,5.0,16.0,2025/05/16 10:13 AM,,,NORTH_AMERICA,CA,British Columbia,,,,"Okanagan Mountain Provincial Park, BC, Canada",,,,49.681057,-119.584053,5.0,,2025-05-28T02:09:01,,,True,False,False
5177084589,,PRESENT,2025-05-16T10:13,10:13:00-07:00,136.0,136.0,2025.0,5.0,16.0,2025/05/16 10:13 AM,,,NORTH_AMERICA,CA,British Columbia,,,,"Okanagan Mountain Provincial Park, BC, Canada",,,,49.681057,-119.584053,5.0,,2025-05-28T02:09:01,,,True,False,False
5176744928,flowers,PRESENT,2025-05-30T17:11,17:11:00-07:00,150.0,150.0,2025.0,5.0,30.0,2025/05/30 5:11 PM,,,NORTH_AMERICA,US,Oregon,,,,"Anthill Trail, Hood River County, OR, USA",,,,45.587803,-121.788404,,,2025-05-31T19:18:48,,,True,False,False
5176649066,,PRESENT,2025-05-23T10:47:58,10:47:58-07:00,143.0,143.0,2025.0,5.0,23.0,2025-05-23 10:47:58,,,NORTH_AMERICA,CA,British Columbia,,,,"Fraser Valley, CA-BC, CA",,,,49.218087,-121.067549,4.0,,2025-05-29T02:00:11,,,True,False,False
5176635814,,PRESENT,2025-06-01T11:30:48,11:30:48-07:00,152.0,152.0,2025.0,6.0,1.0,2025-06-01 11:30:48-07:00,,,NORTH_AMERICA,CA,British Columbia,,,,"Eastern Hillsides, Chilliwack, BC, CA",,,,49.114089,-121.806525,3.0,,2025-06-02T16:36:00,,,True,False,False
5174673580,,PRESENT,1976-07-16,1976-07-16,198.0,198.0,1976.0,7.0,16.0,16 July 1976,,"United States, Washington",,US,Washington,,,"Chelan Co., Mazama: Along rocky shore of Lake ca. 3 miles S of route 20 in Rainey Pass","Chelan Co., Mazama: Along rocky shore of Lake ca. 3 miles S of route 20 in Rainey Pass",,,,48.7352977,-121.8649865,,1800-01-01 00:00:00,1800-01-01T00:00:00,,,False,False,True
5174500577,,PRESENT,1958-07-07,1958-07-07,188.0,188.0,1958.0,7.0,7.0,"July 7, 1958",Mixed woods on hillside above creek; fruit purple-black,"United States, Alaska",NORTH_AMERICA,US,Alaska,,,Five miles NW of Golden on Holt Creek,Five miles NW of Golden on Holt Creek,,,,51.333333,-117.083333,10.0,1800-01-01 00:00:00,1800-01-01T00:00:00,1158.0,0.0,True,True,False
5168047830,,PRESENT,2024-09-13T13:04:18,13:04:18-07:00,257.0,257.0,2024.0,9.0,13.0,2024-09-13 13:04:18-07:00,,,NORTH_AMERICA,US,Washington,,,,"Olympic National Forest, Hoodsport, WA, US",,,,47.505149,-123.287689,3.0,,2025-05-21T06:23:41,,,True,False,False
5167990144,fruits or seeds,PRESENT,2025-05-24T17:12,17:12:00-07:00,144.0,144.0,2025.0,5.0,24.0,2025/05/24 5:12 PM,,,NORTH_AMERICA,US,Washington,,,,"Okanogan County, WA, USA",,,,48.687052,-120.545707,,,2025-05-26T19:38:34,,,True,False,False
5167949298,,PRESENT,2025-05-21T12:25:47,12:25:47-04:00,141.0,141.0,2025.0,5.0,21.0,2025-05-21 12:25:47,,,NORTH_AMERICA,US,Michigan,,,,"Allouez, MI 49805, USA",,,,47.373919,-88.319589,,,2025-05-21T17:55:52,,,True,False,False
5167880801,,PRESENT,2024-09-04T17:43:53,17:43:53-07:00,248.0,248.0,2024.0,9.0,4.0,2024-09-04 17:43:53,,,NORTH_AMERICA,US,Washington,,,,"Clallam County, Olympic, Olympic National Park, US-WA, US",,,,47.925528,-123.823543,5.0,,2025-05-21T18:38:14,,,True,False,False
5167689413,,PRESENT,2021-10-16T11:40,11:40:00-07:00,289.0,289.0,2021.0,10.0,16.0,2021/10/16 11:40 AM PDT,,,NORTH_AMERICA,US,Washington,,,,"King, Washington, United States",,,,47.28793,-121.361109,,,2021-10-17T04:23:19,,,True,False,False
5167397721,,PRESENT,2024-08-23T15:20:54,15:20:54-07:00,236.0,236.0,2024.0,8.0,23.0,2024-08-23 15:20:54-07:00,,,NORTH_AMERICA,US,Oregon,,,,"Umatilla National Forest, Walla Walla, OR, US",,,,45.949647,-117.992963,4516.0,,2025-05-20T04:23:29,,,True,False,False
5167319527,,PRESENT,2024-09-04T17:03:50,17:03:50-07:00,248.0,248.0,2024.0,9.0,4.0,2024-09-04 17:03:50,,,NORTH_AMERICA,US,Washington,,,,"Clallam County, Olympic, Olympic National Park, US-WA, US",,,,47.926417,-123.821434,19.0,,2025-05-21T18:39:02,,,True,False,False
5167304221,,PRESENT,2024-08-24T11:22:15,11:22:15-07:00,237.0,237.0,2024.0,8.0,24.0,2024-08-24 11:22:15-07:00,,,NORTH_AMERICA,US,Washington,,,,"Mount Spokane State Park, Mead, WA, US",,,,47.914976,-117.130359,4.0,,2025-05-20T05:44:50,,,True,False,False
5167068583,,PRESENT,2019-08-17T16:29:37,16:29:37-06:00,229.0,229.0,2019.0,8.0,17.0,2019-08-17 16:29:37,,,NORTH_AMERICA,CA,Alberta,,,,"Nordegg, AB T0M 2H0, Canada",,,,52.91157,-116.448145,,,2024-05-04T21:16:42,,,True,False,False
5167023663,,PRESENT,2024-08-31T21:38:53,21:38:53-07:00,244.0,244.0,2024.0,8.0,31.0,2024-08-31 21:38:53,,,NORTH_AMERICA,CA,British Columbia,,,,"Pemberton, BC V0N 2L2, Canada",,,,50.069831,-123.208448,4498.0,,2024-09-01T21:08:57,,,True,False,False
5166832486,,PRESENT,2023-07-25T19:03:25,19:03:25-07:00,206.0,206.0,2023.0,7.0,25.0,Tue Jul 25 2023 19:03:25 GMT -0700 (PDT),,,NORTH_AMERICA,US,Washington,,,,Cle Elum,,,,47.270416,-121.163582,4.0,,2023-07-26T02:03:37,,,True,False,False
5166792294,,PRESENT,2025-05-13T19:10,19:10:00-06:00,133.0,133.0,2025.0,5.0,13.0,2025/05/13 7:10 PM,,,NORTH_AMERICA,US,Idaho,,,,"Valley County, ID, USA",,,,44.955775,-116.103055,183.0,,2025-05-14T01:20:39,,,True,False,False
5159141061,Flrs,PRESENT,1995-05-28,,148.0,148.0,1995.0,5.0,28.0,5/28/95,South slope - forest - wet loam (rocky),,,US,Oregon,Umatilla,,"Southeast of Kooskooskie, WA in Umatilla National Forest, 8.9 miles SE of Mill Creek Bridge (USFS #64-Road 13).",,,,,45.6416995,-118.7671122,,,1995-01-01T00:00:00,,,False,False,False
5154560685,,PRESENT,2008-08-27T17:05,17:05:00-07:00,240.0,240.0,2008.0,8.0,27.0,2008/08/27 5:05 PM,,,NORTH_AMERICA,US,Oregon,,,,"Jefferson County, OR, USA",,,,44.49719,-121.80263,29.0,,2025-04-24T05:11:20,,,True,False,False
5153518082,,PRESENT,2025-05-04T16:33:28,16:33:28-07:00,124.0,124.0,2025.0,5.0,4.0,2025-05-04 16:33:28-07:00,,,NORTH_AMERICA,US,Washington,,,,"Whistle Punk Trail, Carson, WA, US",,,,45.814587,-121.946022,79.0,,2025-05-11T15:40:01,,,True,False,False
5153014396,,PRESENT,2021-10-03T11:43:28,11:43:28-07:00,276.0,276.0,2021.0,10.0,3.0,Sun Oct 03 2021 11:43:28 GMT-0700 (PDT),,,NORTH_AMERICA,US,Oregon,,,,"Hood River County, US-OR, US",,,,45.337455,-121.670195,5.0,,2024-01-30T05:54:11,,,True,False,False
5141070538,,PRESENT,2011-08-05T11:37,11:37:00-06:00,217.0,217.0,2011.0,8.0,5.0,2011/08/05 11:37 AM,,,NORTH_AMERICA,US,Idaho,,,,"Valley County, ID, USA",,,,44.495225,-116.085744,661.0,,2025-04-28T22:08:06,,,True,False,False
5140895694,,PRESENT,2025-04-27T13:14:29,13:14:29-07:00,117.0,117.0,2025.0,4.0,27.0,2025-04-27 13:14:29,,,NORTH_AMERICA,US,Idaho,,,,"Bonner County, US-ID, US",,,,48.484888,-116.572561,4.0,,2025-04-27T23:52:08,,,True,False,False
5140237943,,PRESENT,2008-07-21T16:07,16:07:00-07:00,203.0,203.0,2008.0,7.0,21.0,2008/07/21 4:07 PM,,,NORTH_AMERICA,US,Oregon,,,,"Linn County, OR, USA",,,,44.43371,-122.05117,22.0,,2025-04-24T05:20:48,,,True,False,False
5139947659,,PRESENT,2022-08-30T11:23,11:23:00-07:00,242.0,242.0,2022.0,8.0,30.0,2022/08/30 11:23 AM,,,NORTH_AMERICA,US,Oregon,,,,"Lane, Oregon, United States",,,,44.185553,-121.83553,,,2024-11-24T08:22:25,,,True,False,False
5133898134,,PRESENT,2024-07-29T14:26:31,14:26:31-07:00,211.0,211.0,2024.0,7.0,29.0,2024-07-29 14:26:31,,,NORTH_AMERICA,US,Oregon,,,,"Waterfalls Trail, Sisters, OR, US",,,,44.348358,-121.997271,167.0,,2025-04-17T15:17:57,,,True,False,False
5133812627,,PRESENT,2025-03-30T12:37:55,12:37:55-07:00,89.0,89.0,2025.0,3.0,30.0,2025-03-30 12:37:55-07:00,,,NORTH_AMERICA,US,Idaho,,,,"Sagle, ID, US",,,,48.247745,-116.501358,3.0,,2025-03-30T21:52:35,,,True,False,False
5133726676,,PRESENT,2023-08-21T14:13:54,14:13:54-06:00,233.0,233.0,2023.0,8.0,21.0,2023-08-21 14:13:54-06:00,,,NORTH_AMERICA,US,Montana,,,,"Helena-Lewis and Clark National Forest, Helena, MT, US",,,,46.701168,-112.344933,1926.0,,2025-03-03T04:51:44,,,True,False,False
5133458461,flowers,PRESENT,2024-07-06T18:19:16,18:19:16-07:00,188.0,188.0,2024.0,7.0,6.0,2024-07-06 18:19:16-07:00,,,NORTH_AMERICA,US,Oregon,,,,"Willamette National Forest, Blue River, OR, US",,,,44.18095,-121.820725,4.0,,2025-02-15T15:56:41,,,True,False,False
5133184824,,PRESENT,2020-07-24T17:21:15,17:21:15-06:00,206.0,206.0,2020.0,7.0,24.0,Fri Jul 24 2020 17:21:15 GMT-0600 (MDT),,,NORTH_AMERICA,US,Idaho,,,,"Adams County, US-ID, US",,,,45.04305,-116.581263,5.0,,2020-07-28T16:11:47,,,True,False,False
5133104331,,PRESENT,2016-08-03T20:35,20:35:00-07:00,216.0,216.0,2016.0,8.0,3.0,2016/08/03 8:35 PM PDT,,,NORTH_AMERICA,US,Oregon,,,,"Whitewater Creek Trail, Marion County, OR, USA",,,,44.710617,-121.859214,,,2024-04-24T21:21:44,,,True,False,False
5108343127,,PRESENT,2021-08-04T12:11,12:11:00-06:00,216.0,216.0,2021.0,8.0,4.0,2021/08/04 12:11 PM,,,NORTH_AMERICA,CA,Alberta,,,,"Kananaskis, AB T0L, Canada",,,,50.623764,-115.189008,,,2025-03-30T21:03:02,,,True,False,False
5108061088,,PRESENT,2024-07-06T16:12:40,16:12:40-07:00,188.0,188.0,2024.0,7.0,6.0,2024-07-06 16:12:40,,,NORTH_AMERICA,US,Washington,,,,"Garfield County, WA, USA",,,,46.230221,-117.541739,,,2024-07-07T22:54:40,,,True,False,False
5108033487,fruits or seeds,PRESENT,2021-05-30T10:37,10:37:00-07:00,150.0,150.0,2021.0,5.0,30.0,2021/05/30 10:37 AM PDT,,,NORTH_AMERICA,US,Washington,,,,"Garfield, Washington, United States",,,,46.181267,-117.590705,,,2021-06-04T20:22:15,,,True,False,False
5108018170,,PRESENT,2024-07-06T15:30:01,15:30:01-07:00,188.0,188.0,2024.0,7.0,6.0,2024-07-06 15:30:01,,,NORTH_AMERICA,US,Washington,,,,"Garfield County, WA, USA",,,,46.228706,-117.544019,,,2024-07-07T23:00:23,,,True,False,False
5104350336,no flowers or fruits,PRESENT,2025-03-01T10:49:39,10:49:39-08:00,60.0,60.0,2025.0,3.0,1.0,2025-03-01 10:49:39-08:00,,,NORTH_AMERICA,CA,British Columbia,,,,"UBC Botanical Garden, Greater Vancouver, BC, CA",,,,49.253547,-123.245537,14.0,,2025-03-04T23:14:41,,,True,False,False
5103609834,,PRESENT,1979-08-09,1979-08-09,221.0,221.0,1979.0,8.0,9.0,09 AUG 1979,,"United States, Oregon, Jefferson County",NORTH_AMERICA,US,Oregon,Jefferson County,,1 mile E of Lost Prairie Campground,"1 mi. E Lost Prairie Campground (T13S, R8E) (44 Deg 25' N 121 Deg 50' W)",,,,44.416667,-121.833333,,1979-08-09 00:00:00,1979-08-09T00:00:00,,,True,False,False
