gbifID,reproductiveCondition,occurrenceStatus,habitat,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,georeferencedDate,elevation,elevationAccuracy,datetime,date
1304445541,,PRESENT,,,,,45.2067,-121.75,,,,1996-07-29,1996-07-29
1304445537,,PRESENT,,,,,44.5379,-118.588,,,,2007-06-11,2007-06-11
1304445536,,PRESENT,,,,,43.9282,-122.1205,,,,2004-07-27,2004-07-27
1304445532,,PRESENT,,,,,44.0176,-122.4769,,,,2000-06-26,2000-06-26
1304445531,,PRESENT,forest,,,,44.309,-122.2406,,,,2002-06-22,2002-06-22
1304445529,,PRESENT,,,,,45.1733,-121.6179,,,,1998-04-28,1998-04-28
1304445527,,PRESENT,,,,,44.85,-122.3098,,,,1997-06-07,1997-06-07
1304445526,,PRESENT,,,,,45.5687,-122.0949,,,,2004-06-17,2004-06-17
1304445524,,PRESENT,,,,,44.4197,-121.8571,,,,2008-08-16,2008-08-16
1304445520,,PRESENT,,,,,45.7504,-118.0512,,,,1980-07-03,1980-07-03
1304445516,,PRESENT,,,,,45.3312,-121.7114,,,,1999-08-01,1999-08-01
1304445515,,PRESENT,,,,,42.7153,-122.1296,,,,2007-06-22,2007-06-22
1304445514,,PRESENT,,,,,43.9112,-122.0553,,,,1992-09-03,1992-09-03
1304445507,,PRESENT,,,,,43.5781,-122.3402,,,,2002-09-20,2002-09-20
1304445504,,PRESENT,,,,,42.0168,-123.4552,,,,1993-09-18,1993-09-18
1304445502,,PRESENT,,,,,45.312,-121.736,,,,2002-08-01,2002-08-01
1304445499,,PRESENT,,,,,45.0472,-121.8173,,,,1998-08-25,1998-08-25
1304445497,,PRESENT,,,,,45.335,-121.3995,,,,1999-07-09,1999-07-09
1304445496,,PRESENT,,,,,42.9171,-122.5897,,,,2008-09-18,2008-09-18
1304445494,,PRESENT,,,,,45.343,-121.7443,,,,1999-08-01,1999-08-01
1304445493,,PRESENT,,,,,45.5563,-121.8186,,,,1993-08-13,1993-08-13
1304445491,,PRESENT,,,,,45.1959,-121.816,,,,1996-07-16,1996-07-16
1304445490,,PRESENT,ridgetop balds.,,,,44.826,-121.9934,,,,1982-07-28,1982-07-28
1304445489,,PRESENT,forest,,,,44.2217,-122.1244,,,,1979-07-05,1979-07-05
1304445487,,PRESENT,,,,,43.4003,-122.4995,,,,2009-08-23,2009-08-23
1304445485,,PRESENT,,,,,45.3144,-121.6055,,,,1993-07-14,1993-07-14
1304445484,,PRESENT,,,,,44.4199,-122.096,,,,1994-08-10,1994-08-10
1304445480,,PRESENT,,,,,45.4234,-121.9706,,,,2004-07-15,2004-07-15
1304445477,,PRESENT,rocky ridge-top.,,,,43.1643,-122.4575,,,,1993-09-28,1993-09-28
1304445476,,PRESENT,,,,,45.5596,-121.8113,,,,1997-07-21,1997-07-21
1304445474,,PRESENT,,,,,43.5201,-122.2006,,,,2003-08-02,2003-08-02
1304445472,,PRESENT,,,,,45.3378,-121.4508,,,,1999-06-22,1999-06-22
1304445471,,PRESENT,,,,,44.369,-122.0881,,,,1999-07-31,1999-07-31
1304445466,,PRESENT,,,,,44.5408,-121.9785,,,,1996-08-13,1996-08-13
1304445465,,PRESENT,,,,,45.1959,-121.816,,,,1996-07-19,1996-07-19
1304445464,,PRESENT,,,,,45.2104,-121.7956,,,,1992-07-16,1992-07-16
1304445460,,PRESENT,Engelmann spruce grove; meadow and wetlands.,,,,42.0941,-122.7236,,,,1993-09-18,1993-09-18
1304445459,,PRESENT,,,,,43.5201,-122.2006,,,,2005-10-06,2005-10-06
1304445457,,PRESENT,,,,,45.425,-121.767,,,,1994-06-02,1994-06-02
1304445456,,PRESENT,,,,,45.4816,-121.6858,,,,1993-08-11,1993-08-11
1304445455,,PRESENT,,,,,44.3443,-122.0009,,,,2004-07-27,2004-07-27
1304445451,,PRESENT,,,,,45.5495,-122.0025,,,,2005-08-30,2005-08-30
1304445450,,PRESENT,forest,,,,44.2217,-122.1244,,,,1979-07-05,1979-07-05
1304445446,,PRESENT,,,,,45.1978,-121.8492,,,,1991-07-23,1991-07-23
1304445438,,PRESENT,"deep shade, mossy depression, old growth Thuja plicata.",,,,45.5451,-122.0714,,,,1991-08-14,1991-08-14
1304445435,,PRESENT,forest,,,,43.3753,-122.3254,,,,1979-08-02,1979-08-02
1304445427,,PRESENT,,,,,45.1814,-121.816,,,,1996-08-23,1996-08-23
1304445426,,PRESENT,,,,,45.5546,-122.0119,,,,1996-07-19,1996-07-19
1304445417,,PRESENT,,,,,45.2597,-121.627,,,,1992-09-01,1992-09-01
1304445415,,PRESENT,,,,,45.1462,-121.64,,,,1998-06-12,1998-06-12
1304445414,,PRESENT,,,,,44.5979,-122.1316,,,,1994-08-04,1994-08-04
1304445411,,PRESENT,,,,,45.4839,-121.8127,,,,1994-08-26,1994-08-26
1304445409,,PRESENT,,,,,45.4343,-122.0066,,,,2003-07-01,2003-07-01
1304445405,,PRESENT,,,,,42.3,-122.2833,,,,2003-07-20,2003-07-20
1304445402,,PRESENT,,,,,45.6418,-121.6994,,,,1993-07-08,1993-07-08
1304445400,,PRESENT,"roadside, near forest.",,,,44.1772,-121.9078,,,,1995-09-09,1995-09-09
1304445397,,PRESENT,,,,,44.6477,-122.0028,,,,1996-11-05,1996-11-05
1304445391,,PRESENT,,,,,45.3154,-121.5641,,,,1993-08-12,1993-08-12
