reproductiveCondition,occurrenceStatus,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedDate,dateIdentified,elevation,elevationAccuracy,hasCoordinate,hasGeospatialIssues,geocoding_query
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,1968-08-04,,217.0,217.0,1968.0,8.0,4.0,,Trail side,,NORTH_AMERICA,CA,Alberta,,Waterton Lakes National Park,"near campsite, north-west of Cameron Lake",,,,,,,,,,,,False,False,"near campsite, north-west of Cameron Lake, Waterton Lakes National Park, Alberta, CA"
,PRESENT,1959-07-10,,191.0,191.0,1959.0,7.0,10.0,,Coniferous forest,,NORTH_AMERICA,US,Wyoming,,,Teton Pass,,8400 feet,,,,,,,,2560.0,0.0,False,False,"Teton Pass, , Wyoming, US"
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,1976-07-16,1976-07-16,198.0,198.0,1976.0,7.0,16.0,16 July 1976,,"United States, Washington",,US,Washington,,,"Chelan Co., Mazama: Along rocky shore of Lake ca. 3 miles S of route 20 in Rainey Pass","Chelan Co., Mazama: Along rocky shore of Lake ca. 3 miles S of route 20 in Rainey Pass",,,,,,,1800-01-01 00:00:00,1800-01-01T00:00:00,,,False,False,"Chelan Co., Mazama: Along rocky shore of Lake ca. 3 miles S of route 20 in Rainey Pass, Chelan Co., Mazama: Along rocky shore of Lake ca. 3 miles S of route 20 in Rainey Pass, , Washington, US"
,PRESENT,1800-01-01/2008-04-25,1800-01-01/2008-04-25,1.0,116.0,,,,not recorded,,no higher geography recorded,,,,,,No specific locality recorded.,No verbatim locality recorded,,,,,,,2012-07-08 00:00:00,2008-04-25T00:00:00,,,False,False,"No verbatim locality recorded, No specific locality recorded."
Flrs,PRESENT,1995-05-28,,148.0,148.0,1995.0,5.0,28.0,5/28/95,South slope - forest - wet loam (rocky),,,US,Oregon,Umatilla,,"Southeast of Kooskooskie, WA in Umatilla National Forest, 8.9 miles SE of Mill Creek Bridge (USFS #64-Road 13).",,,,,,,,,1995-01-01T00:00:00,,,False,False,"Southeast of Kooskooskie, WA in Umatilla National Forest, 8.9 miles SE of Mill Creek Bridge (USFS #64-Road 13)., Umatilla, Oregon, US"
,PRESENT,1991-07-26,1991-07-26,207.0,207.0,1991.0,7.0,26.0,26-Jul-91,,"United States, Wyoming, Teton County",,US,Wyoming,Teton County,,"Teton Range, North Fork Teton Creek, within 1 mile (by air) of trailhead, 10 miles ENE (by air) Driggs","Teton Range, N Fork Teton Creek Within 1 air mi. of Trail Head, 10 air mi. ENE Driggs (T44N, R117W, Sec 20) 7000-7800 Ft",,,,,,,1991-07-26 00:00:00,1991-07-26T00:00:00,2255.5,121.5,False,False,"Teton Range, N Fork Teton Creek Within 1 air mi. of Trail Head, 10 air mi. ENE Driggs (T44N, R117W, Sec 20) 7000-7800 Ft, Teton Range, North Fork Teton Creek, within 1 mile (by air) of trailhead, 10 miles ENE (by air) Driggs, Teton County, Wyoming, US"
,PRESENT,1975-08-16,1975-08-16,228.0,228.0,1975.0,8.0,16.0,16 AUG 1975,in open disturbed sites,"United States, Idaho, Idaho County",,US,Idaho,Idaho County,,"64 miles E (by road on United States Highway Highway 12) of Lowell, Clearwater National Forest, Jerry Johnson Campground","64 mi. (by USHY 12) E Lowell, Clearwater Natl Forest, Jerry Johnson Campground 3000 Ft",,,,,,,1975-08-16 00:00:00,1975-08-16T00:00:00,914.0,0.0,False,False,"64 mi. (by USHY 12) E Lowell, Clearwater Natl Forest, Jerry Johnson Campground 3000 Ft, 64 miles E (by road on United States Highway Highway 12) of Lowell, Clearwater National Forest, Jerry Johnson Campground, Idaho County, Idaho, US"
,PRESENT,1925-07-25T00:00,,206.0,206.0,1925.0,7.0,25.0,,,,,,,,,"Seeley Lake, west side slough, north end",,,,,,,,,,,,False,False,"Seeley Lake, west side slough, north end"
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,1959-07-18,,199.0,199.0,1959.0,7.0,18.0,7/18/1959,"Abies range type, soil dry",,,US,Idaho,Latah,,,,,,,,,,,,,,False,True,"Latah, Idaho, US"
,PRESENT,1952-07-30,,212.0,212.0,1952.0,7.0,30.0,1952 Jul 30,with Rhododendron californica,,NORTH_AMERICA,CA,British Columbia,,,unknown,Canada; British Columbia; Skagit River Valley,,,,,,,,1961-01-01T00:00:00,,,False,False,"Canada; British Columbia; Skagit River Valley, unknown, , British Columbia, CA"
,PRESENT,1980-06-12,,164.0,164.0,1980.0,6.0,12.0,12 June 1980,"Utah honeysuckle, Pinus contorta",,,US,Idaho,Fremont,,"7 mi E of Last Chance, flat, shaded, forest floor",,6300ft.,,,,,,,,1921.0,,False,True,"7 mi E of Last Chance, flat, shaded, forest floor, Fremont, Idaho, US"
,PRESENT,1993-06-13,,164.0,164.0,1993.0,6.0,13.0,,,,,US,Washington,Snohomish,,Persis Mountain.,,,,,,,,,,1341.0,0.0,False,False,"Persis Mountain., Snohomish, Washington, US"
,PRESENT,1941-07-08,,189.0,189.0,1941.0,7.0,8.0,,,,NORTH_AMERICA,CA,British Columbia,,,West side of Mountain Revelstoke.,,,,,,,,,2006-04-06T00:00:00,1616.0,0.0,False,False,"West side of Mountain Revelstoke., , British Columbia, CA"
,PRESENT,1933-08-13,,225.0,225.0,1933.0,8.0,13.0,,,,,US,Oregon,Wasco,,Along East Fork Hood River; near Sherwood Forest Camp; Mount Hood National Forest.,,,,,,,,,1944-01-01T00:00:00,,,False,False,"Along East Fork Hood River; near Sherwood Forest Camp; Mount Hood National Forest., Wasco, Oregon, US"
